Date,Accident Location,Latitude,Longitude,Latitude_decimal,Longitude_decimal
2020-11-13 00:00:00,Doswada,N21° 07' 45.87'',E72° 45' 50.02'',21.129408,72.763894
2020-11-15 00:00:00,Bajipura,N21° 05' 31.87'',E73° 00' 51.95'',21.092186,73.014431
2020-11-16 00:00:00,Vanesa,N21° 06' 5.47'',E73° 13' 29.02'',21.101519,73.224728
2020-11-19 00:00:00,Manekpor,N21° 06' 16.3'',E73° 17' 6.92'',21.104528,73.285256
2020-11-20 00:00:00,Virpur,N21° 06' 43.22'',E72° 49' 49.88'',21.112006,72.830522
2020-11-24 00:00:00,Bhimrad,N21° 08' 9.17'',E73° 28' 52.8'',21.135881,73.481333
2020-11-28 00:00:00,Bardoli,N21° 06' 30.08'',E73° 10' 56.13'',21.108356,73.182258
2020-12-02 00:00:00,Doswada,N21° 07' 46.72'',E72° 45' 48.55'',21.129644,72.763486
2020-12-02 00:00:00,Kikakui,N21° 07' 11.41'',E72° 47' 14.94'',21.119836,72.787483
2020-12-09 00:00:00,Tadkuva,N21° 05' 54.92'',E72° 52' 16.26'',21.098589,72.871183
2020-12-13 00:00:00,Songadh,N21° 08' 53.28'',E72° 44' 40.66'',21.148133,72.744628
2020-12-13 00:00:00,Abhava,N21° 08' 52.13'',E73° 31' 10.37'',21.147814,73.519547
2020-12-16 00:00:00,Hazira,N21° 09' 58.14'',E73° 40' 8.87'',21.16615,73.669131
2020-12-19 00:00:00,Katgadh,N21° 06' 16.31'',E72° 51' 18.59'',21.104531,72.855164
2020-12-22 00:00:00,Kawas,N21° 10' 41.5'',E73° 36' 28.18'',21.178194,73.607828
2020-12-23 00:00:00,Khusalpura,N21° 05' 22.09'',E72° 54' 10.42'',21.089469,72.902894
2020-12-25 00:00:00,Chorvad,N21° 07' 0.66'',E72° 49' 14.82'',21.11685,72.820783
2020-12-26 00:00:00,Pokharan,N21° 08' 11.76'',E72° 45' 10.33'',21.1366,72.752869
2020-12-28 00:00:00,Bhatia,N21° 06' 36.5'',E73° 21' 10.55'',21.110139,73.352931
2020-12-29 00:00:00,Sejvad,N21° 06' 5.76'',E73° 04' 48.28'',21.1016,73.080078
2020-12-29 00:00:00,Vaanz,N21° 07' 34.41'',E73° 22' 35.96'',21.126225,73.376656
