SRNO,Accident_Location,Latitude,Longitude
31.0,Songadh,21.159736,72.738186
32.0,Khusalpura,21.089931,72.923522
33.0,Virpur,21.11705,72.820353
34.0,Damka,21.170806,73.625331
35.0,Ichhapore,21.180678,73.582669
36.0,Chorvad,21.119667,72.814222
37.0,Vanz,21.123942,73.364092
38.0,Hazira,21.166003,73.667211
39.0,Kawas,21.183681,73.59175
40.0,Katgadh,21.104472,72.855344
41.0,Vanz,21.125539,73.368064
42.0,Juni Kikwad,21.105381,73.10685
43.0,Bardoli,21.108597,73.185117
44.0,Magdalla,21.159358,73.540725
45.0,Sachin ,21.126031,73.406975
46.0,Sachin GIDC,21.126117,73.425214
47.0,Maypur,21.0855,72.971386
48.0,Vaanz,21.126147,73.389653
49.0,Vaanz,21.126225,73.372806
50.0,Bhimrad,21.130739,73.45765
51.0,Sachin GIDC,21.125822,73.423314
52.0,Taraj,21.099844,73.336422
53.0,Palsana,21.097578,73.308147
54.0,Doswada,21.128231,72.765947
55.0,Sejwad,21.101614,73.082964
56.0,Sachin GIDC,21.126264,73.426164
57.0,Kikakui,21.119872,72.788447
58.0,Tadkuva,21.097781,72.879292
59.0,Katgadh,21.105175,72.853367
60.0,Vanesa,21.105736,73.202153
61.0,Bhatpor,21.167225,73.573297
62.0,Bhutpor,21.104528,73.285256
63.0,Mandal,21.1205,72.803436
64.0,Ichhapor,21.172586,73.619875
65.0,Kawas,21.180453,73.602575
66.0,Bhatpor ,21.166528,73.565803
67.0,Vanz ,21.125406,73.367606
68.0,Bhatia ,21.109744,73.352694
69.0,Mora ,21.1645,73.635533
70.0,Lingad ,21.102483,73.346061
71.0,Mandal ,21.1205,72.803436
72.0,Vanz ,21.126053,73.39735
73.0,Mirkot ,21.180394,72.690858
74.0,Chorvad ,21.119492,72.814667
75.0,Songadh ,21.18575,72.724981
76.0,Bhatpor ,21.163536,73.550842
77.0,Vanz ,21.126228,73.376175
78.0,Damka ,21.175211,73.614839
